13722KRDU RDU20260801144512008/01/26 14:45:31  5-MIN KRDU 011945Z 14009KT 10SM FEW045 OVC220 31/20 A2989 460 51 2400 150/09 RMK AO2 SLP116 T03110200
13722KRDU RDU20260801145012008/01/26 14:50:31  5-MIN KRDU 011950Z 13008KT 10SM FEW045 OVC220 31/20 A2989 460 51 2400 140/08 RMK AO2 SLP116 T03110200
13722KRDU RDU20260801145511308/01/26 14:55:31  5-MIN KRDU 011955Z 15010KT 10SM FEW045 OVC220 31/21 A2989 470 53 2500 160/10 RMK AO2 T03110206
13722KRDU RDU20260801150011308/01/26 15:00:31  5-MIN KRDU 012000Z 15009KT 10SM FEW045 OVC220 32/20 A2988 470 49 2500 160/09 RMK AO2 T03170200
13722KRDU RDU20260801150511308/01/26 15:05:31  5-MIN KRDU 012005Z 13010KT 10SM FEW045 OVC220 31/19 A2988 470 49 2500 140/10 RMK AO2 T03110194
13722KRDU RDU20260801151011908/01/26 15:10:31  5-MIN KRDU 012010Z 16008G17KT 10SM FEW045 OVC220 31/20 A2988 470 51 2500 170/08G17 RMK AO2 T03110200
13722KRDU RDU20260801151511308/01/26 15:15:31  5-MIN KRDU 012015Z 15007KT 10SM FEW045 OVC220 32/20 A2988 470 49 2500 160/07 RMK AO2 T03170200
13722KRDU RDU20260801152011908/01/26 15:20:31  5-MIN KRDU 012020Z 14009G16KT 10SM FEW045 OVC220 32/20 A2988 470 49 2500 150/09G16 RMK AO2 T03170200
13722KRDU RDU20260801152511908/01/26 15:25:31  5-MIN KRDU 012025Z 13008G16KT 10SM FEW045 OVC220 31/19 A2988 470 49 2500 140/08G16 RMK AO2 T03110194
13722KRDU RDU20260801153011908/01/26 15:30:31  5-MIN KRDU 012030Z 13010G21KT 10SM FEW045 OVC220 32/20 A2988 470 49 2500 140/10G21 RMK AO2 T03170200
13722KRDU RDU20260801153511908/01/26 15:35:31  5-MIN KRDU 012035Z 12009G21KT 10SM FEW045 OVC220 31/19 A2988 470 49 2500 130/09G21 RMK AO2 T03110194
13722KRDU RDU20260801154011908/01/26 15:40:31  5-MIN KRDU 012040Z 14009G21KT 10SM FEW045 OVC220 32/20 A2988 470 49 2500 150/09G21 RMK AO2 T03170200
13722KRDU RDU20260801154513208/01/26 15:45:31  5-MIN KRDU 012045Z 15009G21KT 10SM SCT050 BKN250 32/20 A2988 470 49 2500 160/09G21 RMK AO2 SLP113 T03170200 58009
13722KRDU RDU20260801155013208/01/26 15:50:31  5-MIN KRDU 012050Z 14009G17KT 10SM SCT050 BKN250 31/20 A2988 470 51 2500 150/09G17 RMK AO2 SLP113 T03110200 58009
13722KRDU RDU20260801155511908/01/26 15:55:31  5-MIN KRDU 012055Z 15008G19KT 10SM SCT050 BKN250 31/19 A2988 470 49 2500 160/08G19 RMK AO2 T03110194
13722KRDU RDU20260801160011908/01/26 16:00:31  5-MIN KRDU 012100Z 17008G19KT 10SM SCT050 BKN250 32/20 A2988 470 48 2600 180/08G19 RMK AO2 T03220200
13722KRDU RDU20260801160511308/01/26 16:05:31  5-MIN KRDU 012105Z 16008KT 10SM SCT050 BKN250 31/19 A2988 470 49 2500 170/08 RMK AO2 T03110194
13722KRDU RDU20260801161011308/01/26 16:10:31  5-MIN KRDU 012110Z 14012KT 10SM SCT050 BKN250 32/20 A2988 470 49 2500 150/12 RMK AO2 T03170200
13722KRDU RDU20260801161511308/01/26 16:15:31  5-MIN KRDU 012115Z 15008KT 10SM SCT050 BKN250 31/20 A2988 480 51 2500 160/08 RMK AO2 T03110200
13722KRDU RDU20260801162011308/01/26 16:20:31  5-MIN KRDU 012120Z 15009KT 10SM SCT050 BKN250 31/20 A2988 480 51 2500 160/09 RMK AO2 T03110200
13722KRDU RDU20260801162511908/01/26 16:25:31  5-MIN KRDU 012125Z 15010G15KT 10SM SCT050 BKN250 31/20 A2988 480 52 2400 160/10G15 RMK AO2 T03060200
